An ounce of blood is worth more than a pound of;family
You don't choose your family. They are god's gift to you as you are to them.;family
As the family goes so goes the nation and so goes the whole world in which we live.;family
The more you're loving and understanding the more your kids will sing.;family
I have learned that to be with those I like is enough.;family
A man can't make a place for himself in the sun if he keeps taking refuge under the family tree.;family
Treat your family like friends and your friends like family.;family
It is a wise father that knows his own child.;family
The greatest gifts you can give;family
A happy family is but an earlier heaven.;family
What divides us pales in comparison to what unites us.;family
What greater thing is there for human souls than to feel that they are joined for life – to be with each other in silent unspeakable memories.;family
I don't know half of you half as well as I should like. and I like less than half of you half as well as you deserve.;family
Other things may change us but we start and end with the family.;family
A man travels the world over in search of what he needs and returns home to find it.;family
I think our job as parents is to give our kids roots to grow and wings to fly.;family
The family is the test of freedom. because the family is the only thing that the free man makes for himself and by himself.;family
Live so that when your children think of fairness caring and integrity they think of you.;family
Your greatest contribution may not be something you do but someone you raise.;family
I don't know who my grandfather was. I am much more concerned to know what his grandson will be.;family
Govern a family as you would cook a small fish very gently.;family
Everyone needs a house to live in but a supportive family is what builds a home.;family
To put the world right in order we must first put the nation in order. to put the nation in order we must first put the family in order. to put the family in order we must first cultivate our personal life. we must first set our hearts right.;family
Think of your family today and every day thereafter don’t let the busy world of today keep you from showing how much you love and appreciate your family.;family
Your parents miss you and wish you'd call. Later yo'll miss them and wish you could. Paul Graham;family
Many men can make a fortune but very few can build a family.;family
There is no doubt that it is around the family and the home that all the greatest virtues the most dominating virtues of human are created strengthened and maintained.;family
If we are peaceful if we are happy we can smile and everyone in our family our entire society will benefit from our peace.;family
The greatest legacy one can pass on to one's children and grandchildren is not money or other material things accumulated in one's life but rather a legacy of character and faith.;family
The only rock I know that stays steady the only institution I know that works is the family.;family
Your children need your presence more than your presents.;family
Family isn’t an important thing. It’s everything.;family
The family is one of nature's masterpieces.;family
My wife has been my closest friend my closest advisor. And she's not somebody who looks to the limelight or even is wild about me being in politics. And that's a good reality check on me. When I go home she wants me to be a good father and a good husband. And everything else is secondary to that.;family
The happiest moments of my life have been the few which I have passed at home in the bosom of my family.;family
Poor folks have neither any kindred nor any friends.;family
Rejoice with your family in the beautiful land of life.;family
After a good dinner one can forgive anybody even one’s own relations.;family
With all my fans I got a family again.;family
A family can develop only with a loving woman as its center.;family
If you cannot get rid of the family skeleton you may as well make it dance.;family
Family is the most important thing in the world.;family
A man should never neglect his family for business.;family
The most important thing in the world is family and love.;family
As a child the family that I had and the love I had from my two parents allowed me to go ahead and be more aggressive to search and to take risks knowing that if I failed I could always come home to a family of love and support.;family
I have a dream that my four little children will one day live in a nation where they will not be judged by the color of their skin but by the content of their character.;family
Families is where our nation finds hope where wings take dream.;family
Like all the best families we have our share of eccentricities of impetuous and wayward youngsters and of family disagreements.;family
The family is the first essential cell of human society.;family
Family makes a house a home.;family
Family. Where life begins and love never ends.;family
Family. A little bit of crazy a little bit of loud and a whole lot of love.;family
In time of test family is best.;family
Family. Being loved no matter what.;family
When we have each other we have everything.;family
Together is my favorite place to be.;family
The love of family is life's greatest blessing.;family
Home is where your story begins.;family
Blood makes you related. Loyalty makes you family.;family
Find your tribe. Love them hard.;family
When you love what you have you have everything you need.;family
Families are like branches on a tree we grow in different directions yet our roots remain as one.;family
There is no job more important than parenting. This I believe.;family
Children learn to smile from their parents.;family
Home is the nicest word there is.;family
Home is where your story beings.;family
In every conceivable manner the family is link to our past bridge to our future.;family
I've learned through the years that it's not where you live it's the people who surround you that make you feel at home.;family
Home should be an anchor a port in a storm a refuge a happy place in which to dwell a place where we are loved and where we can love.;family
Never let anyone tell you that you can't. show them that you can.;family
I love people. I love my family my children but inside myself is a place where I live all alone and that's where you renew your springs that never dry up.;family
To nourish children and raise them against odds is in any time any place more valuable than to fix bolts in cars or design nuclear weapons.;family
My life and the life of my family has to do with exploration with adventure. My grandfather was the first man in the stratosphere and my father was the first to touch the deepest point in the ocean. For me adventure and exploration is something in the blood.;family
Each day of our lives we make deposits in the memory banks of our children.;family
Perhaps the greatest social service that can be rendered by anybody to this country and to mankind is to bring up a family.;family
Families are the tie that reminds us of yesterday provide strength and support today and give us hope for tomorrow. No government no matter how well-intentioned or well-managed can provide what our families provide.;family
A baby is God's opinion that the world should go on.;family
There is no doubt that it is around the family and the home that all the greatest virtues the most dominating virtues of human society are created strengthened and maintained.;family
If you want to see mankind fully look at a family. Within the family minds become organically one and for this reason the family is total poetry.;family
I cannot think of any need in childhood as strong as the need for a father's protection.;family
You leave home to seek your fortune and when you get it you go home and share it with your family.;family
I'm inspired by the love people have for their children. And I'm inspired by my own children how full they make my heart. They make me want to work to make the world a little bit better. And they make me want to be a better man.;family
Knowledge is power. Information is liberating. Education is the premise of progress in every society in every family.;family
I believe the world is one big family and we need to help each other.;family
Let us sacrifice our today so that our children can have a better tomorrow.;family
Let me love you a little more before you're not little anymore.;family
You are my sun my moon and all of my stars.;family
Rich or poor we will keep together and be happy in one another.;family
How lucky I am to have something that makes saying goodbye so hard.;family
The soul is healed by being with children.;family
Traveling in the company of those we love is home in motion.;family
There is always a reason to smile. Find it.;family
The voice of parents is the voice of gods for to their children they are heaven's lieutenants.;family
If you go anywhere even paradise you will miss your home.;family
Always kiss your children goodnight even if they're already asleep.;family
Children are the keys of paradise.;family
I believe in large families: every woman should have at least three husbands.;family
There is no cure for laziness but a large family helps.;family
The capacity for friendship is God's way of apologizing for our families.;family
The place of the father in the modern suburban family is a very small one particularly if he plays golf.;family
Parents are like God because you wanna know they're out there and you want them to think well of you but you really only call when you need something.;family
When your mother asks Do you want a piece of advice? it's a mere formality. It doesn't matter if you answer yes or no. You're going to get it anyway.;family
A two-year old is kind of like a blender but you don’t have any top for it.;family
Siblings: children of the same parents each of whom is perfectly normal until they get together.;family
